12/08/20 13:58:12:378 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 4992 | Sandbox for SLCachePath
12/08/20 13:58:12:476 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 12076 | *********** AGM Service Launched = 7.2.0.32 ************
12/08/20 13:58:12:477 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 12076 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_sznrcg
12/08/20 13:58:12:477 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 12076 | Sandbox for SLCachePath
12/08/20 13:58:13:452 | [INFO] |  |  |  | AGSHelper |  |  | 7876 | AGSHelper Started 7.2.0.32
12/08/20 13:58:13:453 | [INFO] |  |  |  | AGSHelper |  |  | 7876 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_vbhxvh
12/08/20 13:58:13:453 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 7876 | Sandbox for SLCachePath
12/08/20 13:58:14:550 | [INFO] |  |  |  | AGSHelper |  |  | 4596 | AGSHelper Started 7.2.0.32
12/08/20 13:58:14:550 | [INFO] |  |  |  | AGSHelper |  |  | 4596 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ymkkfi
12/08/20 13:58:14:550 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 4596 | Sandbox for SLCachePath
12/08/20 13:58:14:738 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 9208 | *********** AGM Service Launched = 7.2.0.32 ************
12/08/20 13:58:14:738 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 9208 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ymkkfi
12/08/20 13:58:14:739 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 9208 | Sandbox for SLCachePath
12/08/20 13:58:15:637 | [INFO] |  |  |  | AGSHelper |  |  | 6060 | AGSHelper Started 7.2.0.32
12/08/20 13:58:15:638 | [INFO] |  |  |  | AGSHelper |  |  | 6060 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_bwepya
